&#127894;咪咕直播源,#genre#
by caliph21_20240312 20:00更新 ,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgr-2n9AUoqsakNg.mp4
串烧,https://vd4.bdstatic.com/mda-mkn4iq79ihtufbc1/sc/cae_h264/1637639849265611965/mda-mkn4iq79ihtufbc1.mp4

8｜央视,#genre#

CCTV1综合,https://hlszymgsplive.miguvideo.com:443/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=202403122000496b8001f97bd34261ba1bc3d5af36a44c&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20240312200049&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=117.162.79.92&SecurityKey=20240312200049&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=1bf014a31f2378581871986da8826603

CCTV2财经,https://hlszymgsplive.miguvideo.com:443/wd_r2/cctv/cctv2hd/600/index.m3u8?msisdn=202403122000491074d961d279471bbbc94ed8d8015ed6&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20240312200049&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=117.162.79.92&SecurityKey=20240312200049&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=1200e0b94ee503c876a3ce94ee7a7396

CCTV3综艺,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=2024031220004929561114e7ed4550b4d3fa48719cfc41&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20240312200049&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=117.162.79.92&SecurityKey=20240312200049&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=0b3887a25abb078757b1220fef533de2

CCTV4中文国际,https://hlszymgsplive.miguvideo.com:443/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=202403122000502783099f0bb547cc8c7580f92527230b&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20240312200050&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=117.162.79.92&SecurityKey=20240312200050&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=78b9f4ab2cd7a1e4d788d3fdcfac4044

CCTV5体育,https://hlszymgsplive.miguvideo.com:443/wd_r2/cctv/cctv5hdnew/600/index.m3u8?msisdn=20240312200050feef59637b7d413fb736097882054bb0&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20240312200050&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=117.162.79.92&SecurityKey=20240312200050&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=4df7c1229ecc104a61019e9b192e39f3

